business_id,evidence_group,candidate_id,valid,heuristic_score,budget-reduction_loss,fixed-budget-mix_loss,budget-growth_loss,economic-ceiling_loss,budget-reduction_uncapped_loss,fixed-budget-mix_uncapped_loss,budget-growth_uncapped_loss,economic-ceiling_uncapped_loss,mean_loss,p90_loss,risk,uncapped_mean_loss,uncapped_p90_loss,uncapped_risk
amss-v10-001,paid-social-experiment,V6-C01 · benchmark-gap-fill,true,45.57754820118821,0.030388382790700236,0.029266552941694463,0.01902255155715507,0.004221616017000667,0.030388382790700236,0.029266552941694463,0.01902255155715507,0.004221616017000667,0.020724775826637606,0.030051833835998507,0.02398924612991392,0.020724775826637606,0.030051833835998507,0.02398924612991392
amss-v10-001,paid-social-experiment,V6-C01 · experiments-only,true,42.61076246014699,0.09930878219739919,0.0665744663484342,0.02907335634180746,0.045025737683041724,0.09930878219739919,0.0665744663484342,0.02907335634180746,0.045025737683041724,0.05999558564267064,0.0894884874427097,0.07031810127268431,0.05999558564267064,0.0894884874427097,0.07031810127268431
amss-v10-001,paid-social-experiment,V6-C02 · benchmark-gap-fill,true,45.41391822370044,0,0.01734199655047943,0.009193313933743867,0.004221616017000667,0,0.01734199655047943,0.009193313933743867,0.004221616017000667,0.007689231625305991,0.014897391765458762,0.01021208767435946,0.007689231625305991,0.014897391765458762,0.01021208767435946
amss-v10-001,paid-social-experiment,V6-C02 · experiments-only,true,41.10055293150254,0.06295290872294128,0.029266552941694463,0.021819392302735417,0.010679362153224238,0.06295290872294128,0.029266552941694463,0.021819392302735417,0.010679362153224238,0.031179554030148847,0.052847001988567247,0.038763160815595284,0.031179554030148847,0.052847001988567247,0.038763160815595284
amss-v10-001,paid-social-experiment,V6-C03 · benchmark-gap-fill,true,46.196183670717524,0.02499875072028459,0.0033255835954101856,0.0022889881214111438,0.027926918501032166,0.02499875072028459,0.0033255835954101856,0.0022889881214111438,0.027926918501032166,0.014635060234534522,0.027048468166807893,0.0189797530108302,0.014635060234534522,0.027048468166807893,0.0189797530108302
amss-v10-001,paid-social-experiment,V6-C03 · experiments-only,true,41.56345625217471,0.030388382790700236,0.029266552941694463,0.026027019838783652,0.010679362153224238,0.030388382790700236,0.029266552941694463,0.026027019838783652,0.010679362153224238,0.02409032943110065,0.030051833835998507,0.026176855972814897,0.02409032943110065,0.030051833835998507,0.026176855972814897
amss-v10-001,paid-social-experiment,V6-C04 · benchmark-gap-fill,true,48.47852459022304,0.02499875072028459,0.0033255835954101856,0.0022889881214111438,0.027926918501032166,0.02499875072028459,0.0033255835954101856,0.0022889881214111438,0.027926918501032166,0.014635060234534522,0.027048468166807893,0.0189797530108302,0.014635060234534522,0.027048468166807893,0.0189797530108302
amss-v10-001,paid-social-experiment,V6-C04 · experiments-only,true,43.582698640362615,0.046331931440537134,0.029266552941694463,0.02653018919314692,0.021017267271084716,0.046331931440537134,0.029266552941694463,0.02653018919314692,0.021017267271084716,0.03078648521161581,0.04121231789088434,0.034435526649359796,0.03078648521161581,0.04121231789088434,0.034435526649359796
amss-v10-001,paid-social-experiment,V6-C05 · benchmark-gap-fill,true,65.87498884446585,0.02499875072028459,0.0033255835954101856,0.0022889881214111438,0.027926918501032166,0.02499875072028459,0.0033255835954101856,0.0022889881214111438,0.027926918501032166,0.014635060234534522,0.027048468166807893,0.0189797530108302,0.014635060234534522,0.027048468166807893,0.0189797530108302
amss-v10-001,paid-social-experiment,V6-C05 · experiments-only,true,58.112236926073436,0.030388382790700236,0.029266552941694463,0.026027019838783652,0.010679362153224238,0.030388382790700236,0.029266552941694463,0.026027019838783652,0.010679362153224238,0.02409032943110065,0.030051833835998507,0.026176855972814897,0.02409032943110065,0.030051833835998507,0.026176855972814897
amss-v10-001,paid-social-experiment,V6-C06 · benchmark-gap-fill,true,57.962632947257035,0.01827805776030091,0.01734199655047943,0.014626475053880069,0.03727302762519717,0.01827805776030091,0.01734199655047943,0.014626475053880069,0.03727302762519717,0.021879889247464396,0.0315745366657283,0.02527301584385676,0.021879889247464396,0.0315745366657283,0.02527301584385676
amss-v10-001,paid-social-experiment,V6-C06 · experiments-only,true,47.13785689976426,0.07846952485079932,0.045084685245756526,0.02907335634180746,0.03533712513257491,0.07846952485079932,0.045084685245756526,0.02907335634180746,0.03533712513257491,0.04699117289273456,0.06845407296928649,0.05450318791952773,0.04699117289273456,0.06845407296928649,0.05450318791952773
amss-v10-001,paid-social-experiment,V6-C07 · benchmark-gap-fill,true,69.26299308455724,0.02499875072028459,0.008413657525969603,0.007046233881039084,0.027926918501032166,0.02499875072028459,0.008413657525969603,0.007046233881039084,0.027926918501032166,0.01709639015708136,0.027048468166807893,0.020579617460485648,0.01709639015708136,0.027048468166807893,0.020579617460485648
amss-v10-001,paid-social-experiment,V6-C07 · experiments-only,true,55.61797354823857,0.046331931440537134,0.029266552941694463,0.015923122265178377,0.010679362153224238,0.046331931440537134,0.029266552941694463,0.015923122265178377,0.010679362153224238,0.025550242200158554,0.04121231789088434,0.03103196869191258,0.025550242200158554,0.04121231789088434,0.03103196869191258
amss-v10-001,paid-social-experiment,V6-C08 · benchmark-gap-fill,true,37.55642731674564,0.01827805776030091,0.008413657525969603,0.007046233881039084,0.004221616017000667,0.01827805776030091,0.008413657525969603,0.007046233881039084,0.004221616017000667,0.009489891296077567,0.01531873769000152,0.011529987533950951,0.009489891296077567,0.01531873769000152,0.011529987533950951
amss-v10-001,paid-social-experiment,V6-C08 · experiments-only,true,37.62830885483815,0.07846952485079932,0.045084685245756526,0.02907335634180746,0.045025737683041724,0.07846952485079932,0.045084685245756526,0.02907335634180746,0.045025737683041724,0.04941332603035126,0.06845407296928649,0.05607758745897859,0.04941332603035126,0.06845407296928649,0.05607758745897859
amss-v10-001,paid-social-experiment,V6-C09 · benchmark-gap-fill,true,38.311305033065004,0.02499875072028459,0.008413657525969603,0.007046233881039084,0.027926918501032166,0.02499875072028459,0.008413657525969603,0.007046233881039084,0.027926918501032166,0.01709639015708136,0.027048468166807893,0.020579617460485648,0.01709639015708136,0.027048468166807893,0.020579617460485648
amss-v10-001,paid-social-experiment,V6-C09 · experiments-only,true,36.60694339762836,0.030388382790700236,0.029266552941694463,0.015923122265178377,0.010679362153224238,0.030388382790700236,0.029266552941694463,0.015923122265178377,0.010679362153224238,0.02156435503769933,0.030051833835998507,0.024534972617104044,0.02156435503769933,0.030051833835998507,0.024534972617104044
amss-v10-001,paid-social-experiment,V6-C10 · benchmark-gap-fill,true,38.312064794931764,0.01827805776030091,0.01734199655047943,0.014626475053880069,0.004221616017000667,0.01827805776030091,0.01734199655047943,0.014626475053880069,0.004221616017000667,0.01361703634541527,0.017997239397354467,0.015150107413593988,0.01361703634541527,0.017997239397354467,0.015150107413593988
amss-v10-001,paid-social-experiment,V6-C10 · experiments-only,true,38.44446808004286,0.09930878219739919,0.0665744663484342,0.02907335634180746,0.045025737683041724,0.09930878219739919,0.0665744663484342,0.02907335634180746,0.045025737683041724,0.05999558564267064,0.0894884874427097,0.07031810127268431,0.05999558564267064,0.0894884874427097,0.07031810127268431
amss-v10-001,paid-social-experiment,V6-C11 · benchmark-gap-fill,true,38.42231469104932,0.02499875072028459,0.008413657525969603,0.007046233881039084,0.03727302762519717,0.02499875072028459,0.008413657525969603,0.007046233881039084,0.03727302762519717,0.019432917438122612,0.0335907445537234,0.024388156928582885,0.019432917438122612,0.0335907445537234,0.024388156928582885
